序号,系统时间,时间标识,CAN通道,传输方向,ID号,帧类型,帧格式,长度,数据
24192,20:13:06.688,0x263368C,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 FA E6 42 
24193,20:13:06.748,0x263390B,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 0A 57 0C 43 14 2E B5 42 
24194,20:13:06.748,0x2633920,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 00 D7 83 BF 78 14 AE BF 
24195,20:13:06.748,0x2633935,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 2E 7E 42 A4 70 ED 42 
24196,20:13:06.748,0x263394A,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 66 66 A8 42 48 E1 F2 C1 
24197,20:13:06.778,0x263395F,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 24 EA 42 
24198,20:13:06.838,0x2633BDE,ch1,接收,0x0120,数据帧,标准帧,0x08,x| A4 70 0C 43 EC 51 B5 42 
24199,20:13:06.838,0x2633BF4,ch1,接收,0x0121,数据帧,标准帧,0x08,x| C0 A3 90 BF 40 0A B7 BF 
24200,20:13:06.838,0x2633C09,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 D4 7D 42 A4 70 ED 42 
24201,20:13:06.838,0x2633C1E,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 66 66 A8 42 48 E1 F2 C1 
24202,20:13:06.838,0x2633C33,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 05 EB 42 
24203,20:13:06.898,0x2633EB2,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 66 66 0C 43 8F 42 B5 42 
24204,20:13:06.898,0x2633EC7,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 40 B8 9E BF 00 00 C0 BF 
24205,20:13:06.898,0x2633EDC,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 C6 7C 42 A4 70 ED 42 
24206,20:13:06.898,0x2633EF1,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 66 66 A8 42 48 E1 F2 C1 
24207,20:13:06.898,0x2633F07,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 16 E9 42 
24208,20:13:06.988,0x2634186,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 00 40 0C 43 5C 0F B5 42 
24209,20:13:06.988,0x263419B,ch1,接收,0x0121,数据帧,标准帧,0x08,x| C0 F5 A8 BF B0 47 E1 BF 
24210,20:13:06.988,0x26341B0,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 26 77 42 A4 70 ED 42 
24211,20:13:06.988,0x26341C5,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 66 66 A8 42 48 E1 F2 C1 
24212,20:13:06.988,0x26341DA,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 46 E6 42 
24213,20:13:07.049,0x2634459,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 52 38 0C 43 1F 05 B5 42 
24214,20:13:07.049,0x263446F,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 40 E1 BA BF 88 EB F1 BF 
