序号,系统时间,时间标识,CAN通道,传输方向,ID号,帧类型,帧格式,长度,数据
18389,20:05:18.028,0x21BC9E1,ch1,接收,0x0121,数据帧,标准帧,0x08,x| F0 51 C0 C0 3E 0A B9 C1 
18390,20:05:18.028,0x21BC9F6,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 02 6E 42 00 80 ED 42 
18391,20:05:18.028,0x21BCA0C,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 AE 47 F3 C1 
18392,20:05:18.028,0x21BCA21,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 27 E7 42 
18393,20:05:18.088,0x21BCCA1,ch1,接收,0x0120,数据帧,标准帧,0x08,x| B8 5E 07 43 C3 F5 B5 42 
18394,20:05:18.118,0x21BCCB6,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 40 0A BF C0 33 33 B9 C1 
18395,20:05:18.118,0x21BCCCB,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 8C 6B 42 00 80 ED 42 
18396,20:05:18.118,0x21BCCE0,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 AE 47 F3 C1 
18397,20:05:18.118,0x21BCCF5,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 92 E5 42 
18398,20:05:18.178,0x21BCF75,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 7B 14 07 43 D7 A3 B5 42 
18399,20:05:18.178,0x21BCF8B,ch1,接收,0x0121,数据帧,标准帧,0x08,x| A0 70 BD C0 90 C2 B9 C1 
18400,20:05:18.178,0x21BCFA0,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 6A 6F 42 00 80 ED 42 
18401,20:05:18.178,0x21BCFB5,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 AE 47 F3 C1 
18402,20:05:18.178,0x21BCFCA,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 08 E8 42 
18403,20:05:18.238,0x21BD24A,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 1F C5 06 43 EC 51 B5 42 
18404,20:05:18.238,0x21BD25F,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 10 AE BF C0 D7 A3 BA C1 
18405,20:05:18.238,0x21BD274,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 E0 71 42 00 80 ED 42 
18406,20:05:18.238,0x21BD28A,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 AE 47 F3 C1 
18407,20:05:18.267,0x21BD29F,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 9D E9 42 
18408,20:05:18.327,0x21BD51F,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 33 73 06 43 A4 F0 B4 42 
18409,20:05:18.327,0x21BD534,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 30 5C BF C0 14 AE BB C1 
18410,20:05:18.327,0x21BD549,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 A2 73 42 00 80 ED 42 
18411,20:05:18.327,0x21BD55E,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 AE 47 F3 C1 
18412,20:05:18.327,0x21BD573,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 9D E9 42 
18413,20:05:18.387,0x21BD7F3,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 52 F8 05 43 1F 85 B4 42 
18414,20:05:18.387,0x21BD808,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 70 3D C2 C0 E2 7A BC C1 
18415,20:05:18.387,0x21BD81E,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 56 74 42 00 80 ED 42 
18416,20:05:18.387,0x21BD833,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 AE 47 F3 C1 
18417,20:05:18.387,0x21BD848,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 32 EB 42 
18418,20:05:18.477,0x21BDAC8,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 1F 85 05 43 00 00 B4 42 
18419,20:05:18.477,0x21BDADD,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 70 3D C2 C0 00 00 BE C1 
18420,20:05:18.477,0x21BDAF2,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 48 73 42 00 80 ED 42 
18421,20:05:18.477,0x21BDB07,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 70 3D A8 42 AE 47 F3 C1 
18422,20:05:18.477,0x21BDB1D,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 52 B8 5B C2 00 7E EA 42 
18423,20:05:18.537,0x21BDD9D,ch1,接收,0x0120,数据帧,标准帧,0x08,x| AE 47 05 43 52 B8 B3 42 
