序号,系统时间,时间标识,CAN通道,传输方向,ID号,帧类型,帧格式,长度,数据
20886,="20:10:40.288",0x24CE714,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 0A 57 A8 42 48 E1 F2 C1 
20887,="20:10:40.288",0x24CE729,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 8F C2 5B C2 00 51 EA 42 
20888,="20:10:40.378",0x24CE9A8,ch1,接收,0x0120,数据帧,标准帧,0x08,x| F6 28 FD 42 29 5C 9C 42 
20889,="20:10:40.378",0x24CE9BD,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 10 AE C7 C0 00 C3 75 3D 
20890,="20:10:40.378",0x24CE9D2,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 D2 43 42 C3 75 ED 42 
20891,="20:10:40.378",0x24CE9E7,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 0A 57 A8 42 48 E1 F2 C1 
20892,="20:10:40.378",0x24CE9FD,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 8F C2 5B C2 00 AB EA 42 
20893,="20:10:40.438",0x24CEC7B,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 5C 0F FD 42 AE 47 9C 42 
20894,="20:10:40.438",0x24CEC90,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 50 B8 C6 C0 00 D7 A3 3D 
20895,="20:10:40.438",0x24CECA5,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 A8 40 42 C3 75 ED 42 
20896,="20:10:40.438",0x24CECBA,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 0A 57 A8 42 48 E1 F2 C1 
20897,="20:10:40.438",0x24CECCF,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 8F C2 5B C2 00 16 E9 42 
20898,="20:10:40.498",0x24CEF4D,ch1,接收,0x0120,数据帧,标准帧,0x08,x| B8 1E FD 42 0A 57 9C 42 
20899,="20:10:40.498",0x24CEF63,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 10 D7 C3 C0 00 52 B8 3D 
20900,="20:10:40.528",0x24CEF78,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 BC 3B 42 C3 75 ED 42 
20901,="20:10:40.528",0x24CEF8D,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 0A 57 A8 42 48 E1 F2 C1 
20902,="20:10:40.528",0x24CEFA2,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 8F C2 5B C2 00 EC E5 42 
20903,="20:10:40.588",0x24CF220,ch1,接收,0x0120,数据帧,标准帧,0x08,x| 71 3D FD 42 85 6B 9C 42 
20904,="20:10:40.588",0x24CF235,ch1,接收,0x0121,数据帧,标准帧,0x08,x| D0 A3 C0 C0 80 47 E1 3D 
20905,="20:10:40.588",0x24CF24A,ch1,接收,0x0122,数据帧,标准帧,0x08,x| 00 9A 3F 42 C3 75 ED 42 
20906,="20:10:40.588",0x24CF260,ch1,接收,0x0123,数据帧,标准帧,0x08,x| 0A 57 A8 42 48 E1 F2 C1 
20907,="20:10:40.588",0x24CF275,ch1,接收,0x0124,数据帧,标准帧,0x08,x| 8F C2 5B C2 00 BC E8 42 
20908,="20:10:40.649",0x24CF4F3,ch1,接收,0x0120,数据帧,标准帧,0x08,x| CD 4C FD 42 E1 7A 9C 42 
20909,="20:10:40.649",0x24CF508,ch1,接收,0x0121,数据帧,标准帧,0x08,x| 90 C2 BD C0 C0 CC 4C 3E 
